,country,description,points,price
0,Argentina,101,85.6930693069307,23.08910891089109
1,Australia,127,87.35433070866142,32.28346456692913
2,Austria,83,90.43373493975903,37.036144578313255
3,Bulgaria,15,88.53333333333333,13.666666666666666
4,Canada,23,88.52173913043478,33.08695652173913
5,Chile,356,85.93539325842697,19.126404494382022
6,Croatia,1,84.0,13.0
7,England,6,91.66666666666667,51.333333333333336
8,France,1462,89.84131326949384,85.04240766073872
9,Germany,55,89.43636363636364,31.381818181818183
10,Hungary,1,90.0,25.0
11,Israel,7,86.42857142857143,18.428571428571427
12,Italy,149,88.74496644295301,34.83892617449664
13,Macedonia,3,86.0,15.0
14,New Zealand,485,88.3319587628866,34.942268041237114
15,Portugal,15,88.2,31.933333333333334
16,Romania,15,86.2,9.266666666666667
17,Slovenia,5,87.4,19.0
18,South Africa,23,88.73913043478261,39.82608695652174
19,Spain,6,87.0,22.833333333333332
20,Switzerland,3,89.0,160.0
21,US,9837,89.61695638914303,44.636881162956186
22,Uruguay,5,85.4,19.2
